id,title,release_date,release_year,runtime,budget,revenue,target_revenue,log_budget,runtime,release_month,log_popularity,vote_average,log_vote_count,cast_count,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Adventure,genre_Crime,genre_Science Fiction,genre_Horror,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music
862,Toy Story,1995-10-30,1995.0,81.0,30000000.0,373554033.0,373554033.0,17.216707972959764,81.0,10.0,3.133184725019919,7.7,8.59711281459211,13,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
8844,Jumanji,1995-12-15,1995.0,104.0,65000000.0,262797249.0,262797249.0,17.989897843244528,104.0,12.0,2.891234663263995,6.9,7.789040401657477,26,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
31357,Waiting to Exhale,1995-12-22,1995.0,127.0,16000000.0,81452156.0,81452156.0,16.588099342704055,127.0,12.0,1.5809345230484193,6.1,3.5553480614894135,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11862,Father of the Bride Part II,1995-02-10,1995.0,106.0,0.0,76578911.0,76578911.0,0.0,106.0,2.0,2.2393810410562476,5.7,5.159055299214529,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
949,Heat,1995-12-15,1995.0,170.0,60000000.0,187436818.0,187436818.0,17.909855136853043,170.0,12.0,2.940479941984501,7.7,7.54274354536855,65,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
9091,Sudden Death,1995-12-22,1995.0,106.0,35000000.0,64350171.0,64350171.0,17.370858648025116,106.0,12.0,1.8296299122023696,5.5,5.1647859739235145,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
710,GoldenEye,1995-11-16,1995.0,130.0,58000000.0,352194034.0,352194034.0,17.87595358575207,130.0,11.0,2.752770889828004,6.6,7.085901464365611,20,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
9087,The American President,1995-11-17,1995.0,106.0,62000000.0,107879496.0,107879496.0,17.9426449591384,106.0,11.0,1.9903978737124228,6.5,5.298317366548036,18,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21032,Balto,1995-12-22,1995.0,78.0,0.0,11348324.0,11348324.0,0.0,78.0,12.0,2.5757167953666604,7.1,6.049733455231958,13,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
10858,Nixon,1995-12-22,1995.0,192.0,44000000.0,13681765.0,13681765.0,17.599700214609808,192.0,12.0,1.8069764350329154,7.1,4.290459441148391,34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1408,Cutthroat Island,1995-12-22,1995.0,119.0,98000000.0,10017322.0,10017322.0,18.400478046838927,119.0,12.0,2.1143835227544248,5.7,4.927253685157205,31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
524,Casino,1995-11-22,1995.0,178.0,52000000.0,116112375.0,116112375.0,17.76675429577647,178.0,11.0,2.4103078264172972,7.8,7.203405521083095,45,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4584,Sense and Sensibility,1995-12-13,1995.0,136.0,16500000.0,135000000.0,135000000.0,16.61887099947687,136.0,12.0,2.457292789087507,7.2,5.8998973535824915,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Four Rooms,1995-12-09,1995.0,98.0,4000000.0,4300000.0,4300000.0,15.201805169084134,98.0,12.0,2.3052401651684007,6.5,6.29156913955832,24,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9273,Ace Ventura: When Nature Calls,1995-11-10,1995.0,90.0,30000000.0,212385533.0,212385533.0,17.216707972959764,90.0,11.0,2.219795482702255,6.1,7.029087564149662,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
11517,Money Train,1995-11-21,1995.0,103.0,60000000.0,35431113.0,35431113.0,17.909855136853043,103.0,11.0,2.120812105708321,5.4,5.41610040220442,15,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
8012,Get Shorty,1995-10-20,1995.0,105.0,30250000.0,115101622.0,115101622.0,17.225006775498976,105.0,10.0,2.6151749743919965,6.4,5.723585101952381,16,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
9691,Assassins,1995-10-06,1995.0,132.0,50000000.0,30303072.0,30303072.0,17.72753358339242,132.0,10.0,2.490386524477861,6.0,5.978885764901122,17,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
451,Leaving Las Vegas,1995-10-27,1995.0,112.0,3600000.0,49800000.0,49800000.0,15.096444681204078,112.0,10.0,2.4276327881077355,7.1,5.902633333401366,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9263,Now and Then,1995-10-20,1995.0,100.0,12000000.0,27400000.0,27400000.0,16.300417291085605,100.0,10.0,2.2701987720865398,6.6,4.5217885770490405,16,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
902,The City of Lost Children,1995-05-16,1995.0,108.0,18000000.0,1738611.0,1738611.0,16.705882371415992,108.0,5.0,2.3816201855015735,7.6,5.733341276897746,37,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
9909,Dangerous Minds,1995-08-11,1995.0,99.0,0.0,180000000.0,180000000.0,0.0,99.0,8.0,2.349596342499276,6.4,5.521460917862246,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,Twelve Monkeys,1995-12-29,1995.0,129.0,29500000.0,168840000.0,168840000.0,17.19990085520835,129.0,12.0,2.5875613831162085,7.4,7.81237820598861,65,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
9598,Babe,1995-07-18,1995.0,89.0,30000000.0,254134910.0,254134910.0,17.216707972959764,89.0,7.0,2.7346768122298877,6.0,6.6293632534374485,18,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
687,Dead Man Walking,1995-12-29,1995.0,122.0,11000000.0,39363635.0,39363635.0,16.213405921671733,122.0,12.0,2.0657630410802557,7.3,5.860786223465865,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34615,"Cry, the Beloved Country",1995-12-15,1995.0,106.0,0.0,676525.0,676525.0,0.0,106.0,12.0,0.6390325414987972,6.7,2.6390573296152584,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9312,Mortal Kombat,1995-08-18,1995.0,101.0,18000000.0,122195920.0,122195920.0,16.705882371415992,101.0,8.0,2.4740258345017634,5.4,6.115892125483034,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
577,To Die For,1995-05-20,1995.0,106.0,20000000.0,21284514.0,21284514.0,16.811242881518265,106.0,5.0,2.437857057444176,6.7,5.181783550292085,14,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
11861,How To Make An American Quilt,1995-10-06,1995.0,116.0,10000000.0,23574130.0,23574130.0,16.118095750958314,116.0,10.0,1.7021917366348476,6.5,3.6635616461296463,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
807,Se7en,1995-09-22,1995.0,127.0,33000000.0,327311859.0,327311859.0,17.312018149733785,127.0,9.0,2.968229002260456,8.1,8.68541582383069,49,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
10530,Pocahontas,1995-06-14,1995.0,81.0,55000000.0,346079773.0,346079773.0,17.822843761378564,81.0,6.0,2.658864788832538,6.7,7.31986492980897,16,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
629,The Usual Suspects,1995-07-19,1995.0,106.0,6000000.0,23341568.0,23341568.0,15.607270193858982,106.0,7.0,2.850849034697996,8.1,8.112227958349724,18,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11448,Mighty Aphrodite,1995-09-13,1995.0,95.0,15000000.0,6700000.0,6700000.0,16.52356082573315,95.0,9.0,2.8272623780125303,6.7,4.983606621708336,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
9089,Home for the Holidays,1995-11-02,1995.0,103.0,0.0,17519169.0,17519169.0,0.0,103.0,11.0,2.2424955405024845,6.3,3.6888794541139363,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2054,Mr. Holland's Opus,1995-12-29,1995.0,137.0,0.0,106269971.0,106269971.0,0.0,137.0,12.0,2.096435940374819,6.9,4.7535901911063645,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
11525,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,1996.0,92.0,0.0,2409225.0,2409225.0,0.0,92.0,1.0,1.2514335137333084,2.8,3.4965075614664802,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10634,Friday,1995-04-26,1995.0,91.0,3500000.0,28215918.0,28215918.0,15.068273812173887,91.0,4.0,2.7453235064667223,7.0,6.2422232654551655,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
755,From Dusk Till Dawn,1996-01-19,1996.0,108.0,19000000.0,25836616.0,25836616.0,16.759949589762293,108.0,1.0,2.7935642521030135,6.9,7.405495663199472,33,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
11859,Fair Game,1995-11-03,1995.0,91.0,50000000.0,11534477.0,11534477.0,17.72753358339242,91.0,11.0,1.9332912937128053,4.1,4.007333185232471,18,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
28387,Kicking and Screaming,1995-10-06,1995.0,96.0,0.0,718490.0,718490.0,0.0,96.0,10.0,1.474139473788652,7.0,3.6109179126442243,21,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
